timestamp,ip,label,status,response_time_ms
2025-10-17 01:44:06,10.59.249.15,Geethika's Laptop,online,65.61
2025-10-17 01:44:06,10.59.249.199,My Laptop,online,0.3
2025-10-17 01:44:36,8.8.8.8,Google DNS,online,68.54
2025-10-17 01:44:36,1.1.1.1,Cloudflare DNS,online,52.51
2025-10-17 01:44:36,10.59.249.15,Geethika's Laptop,online,73.83
2025-10-17 01:44:36,10.59.249.199,My Laptop,online,0.28
2025-10-17 01:45:06,8.8.8.8,Google DNS,online,61.59
2025-10-17 01:45:06,1.1.1.1,Cloudflare DNS,online,75.5
2025-10-17 01:45:07,10.59.249.15,Geethika's Laptop,online,56.24
2025-10-17 01:45:07,10.59.249.199,My Laptop,online,0.29
2025-10-17 01:45:37,8.8.8.8,Google DNS,online,88.97
2025-10-17 01:45:37,1.1.1.1,Cloudflare DNS,online,79.81
2025-10-17 01:45:37,10.59.249.15,Geethika's Laptop,online,3.43
2025-10-17 01:45:37,10.59.249.199,My Laptop,online,0.28
2025-10-17 01:46:07,8.8.8.8,Google DNS,online,66.94
2025-10-17 01:46:07,1.1.1.1,Cloudflare DNS,online,77.3
2025-10-17 01:46:07,10.59.249.15,Geethika's Laptop,online,5.98
2025-10-17 01:46:07,10.59.249.199,My Laptop,online,0.44
2025-10-17 01:46:37,8.8.8.8,Google DNS,online,57.09
2025-10-17 01:46:37,1.1.1.1,Cloudflare DNS,online,51.0
2025-10-17 01:46:37,10.59.249.15,Geethika's Laptop,online,5.76
2025-10-17 01:46:37,10.59.249.199,My Laptop,online,0.28
2025-10-17 01:47:07,8.8.8.8,Google DNS,online,57.28
2025-10-17 01:47:07,1.1.1.1,Cloudflare DNS,online,40.93
2025-10-17 01:47:07,10.59.249.15,Geethika's Laptop,online,6.77
2025-10-17 01:47:07,10.59.249.199,My Laptop,online,0.49
2025-10-17 01:47:37,8.8.8.8,Google DNS,online,82.1
2025-10-17 01:47:37,1.1.1.1,Cloudflare DNS,online,77.81
2025-10-17 01:47:37,10.59.249.15,Geethika's Laptop,online,10.64
2025-10-17 01:47:37,10.59.249.199,My Laptop,online,0.78
2025-10-17 01:48:07,8.8.8.8,Google DNS,online,81.38
2025-10-17 01:48:07,1.1.1.1,Cloudflare DNS,online,51.4
2025-10-17 01:48:07,10.59.249.15,Geethika's Laptop,online,13.22
2025-10-17 01:48:08,10.59.249.199,My Laptop,online,0.28
2025-10-17 01:48:38,8.8.8.8,Google DNS,online,78.38
